Title,Imdb,Runtime,Year,Director,Platform,Genre
Perfect Sisters,5.5,1h 40min,2014,Stanley M. Brooks,Amazon,"Mystery & Thriller, Drama, Crime"
Kevin Hart: Let Me Explain,6.6,1h 15min,2013,Leslie Small,Amazon,"Comedy, Documentary"
The Return of La Llorona,3.7,1h 13min,2021,Peter Jackson,Amazon,"Horror, Drama"
Nanny Cam,5.4,1h 30min,2014,Nancy Leopardi,Amazon,"Mystery & Thriller, Drama"
Diablo: The Utimate Race,4.0,1h 50min,2019,Daniel Markowicz,Amazon,"Action & Adventure, Made in Europe"
Samrat Prithviraj,5.8,2h 15min,2022,Dr. Chandraprakash Dwivedi,Amazon,"Action & Adventure, Drama, History, War & Military"
The Time of Their Lives,6.0,1h 45min,2017,Roger Goldby,Amazon,Comedy
Borealis,7.3,1h 33min,2020,Kevin McMahon,Amazon,Documentary
Breakdown,2.4,1h 32min,2020,Thomas Haley,Amazon,"Mystery & Thriller, Horror"
Phantom,5.9,1h 37min,2013,Todd Robinson,Amazon,"Mystery & Thriller, History, War & Military, Drama"
FIR,6.9,2h 36min,2022,Manu Anand,Amazon,"Mystery & Thriller, Action & Adventure"
Quarantine Girl,3.2,1h 1min,2020,Gregory Hatanaka,Amazon,"Mystery & Thriller, Horror"
Dating Amber,7.0,1h 32min,2020,David Freyne,Amazon,"Comedy, Drama, Romance"
Them,3.3,1h 24min,2021,Ignacio Maiso,Amazon,"Science-Fiction, Mystery & Thriller"
Hell on the Border,4.5,1h 50min,2019,Wes Miller,Amazon,Western
The Rise of the Beast,4.4,1h 17min,2022,Jack Ayers,Amazon,Horror
Below the Fold,4.1,1h 32min,2021,Clayton Scott,Amazon,"Mystery & Thriller, Drama"
Detective Byomkesh Bakshy!,7.6,2h 19min,2015,Dibakar Banerjee,Amazon,"Drama, Mystery & Thriller, Action & Adventure, Crime"
Sarpatta Parambarai,8.5,2h 54min,2021,Pa. Ranjith,Amazon,"Action & Adventure, Drama, Sport"
The Heiress,3.5,1h 23min,2021,Chris Bell,Amazon,Horror
Lover,6.8,2h 15min,2022,Dilsher Singh,Amazon,"Drama, Romance"
Light in the Dark,5.8,1h 45min,2020,Ekene Som Mekwunye,Amazon,"Mystery & Thriller, Drama"
Next Time I'll Aim for the Heart,6.4,1h 51min,2014,Cédric Anger,Amazon,"Mystery & Thriller, Drama, Made in Europe, Crime"
Orphan: First Kill,5.9,1h 39min,2022,William Brent Bell,Amazon,"Horror, Mystery & Thriller, Crime, Drama"
Benedict Arnold: Hero Betrayed,6.5,2h 5min,2021,Chris Stearns,Amazon,"Documentary, Drama, History"
Magic Mountains,5.2,1h 21min,2020,Urszula Antoniak,Amazon,"Crime, Drama, Mystery & Thriller"
Elephant Song,6.5,1h 50min,2014,Charles Binamé,Amazon,Drama
Chiara Ferragni: Unposted,4.1,1h 25min,2019,Elisa Amoruso,Amazon,"Documentary, Made in Europe"
Three Pints and a Rabbi,4.4,1h 13min,2021,Richard Perry,Amazon,"Fantasy, Mystery & Thriller"
The Eighth Clause,6.3,1h 20min,2022,Koko Stambuk,Amazon,Mystery & Thriller
9/11: Minute by Minute,6.4,1h 4min,2021,Piers Garland,Amazon,"Documentary, History"
Anastasia: Once Upon a Time,2.9,1h 29min,2020,Blake Harris,Amazon,"Fantasy, Kids & Family"
Tumbbad,8.2,1h 53min,2018,Rahi Anil Barve,Amazon,"Horror, Fantasy, Mystery & Thriller, Drama, Made in Europe"
Infinitum: Subject Unknown,4.1,1h 26min,2021,Matthew Butler-Hart,Amazon,"Mystery & Thriller, Science-Fiction"
Little Orphans,4.2,1h 19min,2020,Ruth Lawrence,Amazon,Drama
Better Days: The Story of UK Rave,6.9,31min,2021,Hugo Jenkins,Amazon,Documentary
All at Once,6.1,1h 52min,2016,Jon Abrahams,Amazon,Drama
Ayar,4.9,1h 24min,2021,Floyd Russ,Amazon,"Science-Fiction, Drama, Mystery & Thriller"
Raven's Touch,4.2,1h 24min,2015,Marina Rice Bader,Amazon,Drama
Two Ways Home,6.7,1h 32min,2020,Ron Vignone,Amazon,Drama
What Haunts Us,7.0,1h 12min,2017,Paige Goldberg Tolmach,Amazon,Documentary
Bad Witch,4.1,1h 25min,2020,Victor Fink,Amazon,"Horror, Comedy"
Boys,5.2,1h 18min,2014,Mischa Kamp,Amazon,"Drama, Made in Europe, Horror, Romance, Sport"
Funny Face,7.0,1h 35min,2021,Tim Sutton,Amazon,Drama
Brave New Jersey,5.3,1h 26min,2017,Jody Lambert,Amazon,"Comedy, History"
Betting On The Bride,5.6,1h 24min,2017,Marita Grabiak,Amazon,Romance
A Hero,7.5,2h 7min,2021,Asghar Farhadi,Amazon,"Drama, Mystery & Thriller"
David Bowie: Out of This World,5.9,1h 0min,2021,Roxane Schlumberger,Amazon,"Documentary, Music & Musical"
How We Got Gay,6.4,43min,2013,Marc de Guerre,Amazon,Documentary
Apartment 407,5.8,1h 34min,2019,Rudolf Buitendach,Amazon,"Drama, Mystery & Thriller, Crime"
City of Dead Men,6.4,1h 27min,2014,Kirk Sullivan,Amazon,"Mystery & Thriller, Horror, Drama, Action & Adventure, Crime"
Joji,7.8,1h 53min,2021,Dileesh Pothan,Amazon,"Drama, Crime"
And They Say I Am the Crazy One,6.5,1h 26min,2021,Julia Rezende,Amazon,"Comedy, Drama"
Netflix vs. the World,6.8,1h 44min,2020,Shawn Cauthen,Amazon,Documentary
Megan,4.6,1h 29min,2020,Michael Goi,Amazon,Mystery & Thriller
Autonomy,6.5,1h 20min,2019,Alex Horwitz,Amazon,"Documentary, Science-Fiction"
The Sound of Scars,7.1,1h 30min,2021,Leigh Brooks,Amazon,"Music & Musical, Documentary"
Firestarter,4.6,1h 34min,2022,Keith Thomas,Amazon,"Science-Fiction, Mystery & Thriller, Horror, Drama"
You Are My Problem,4.9,1h 51min,2021,Álvaro Curiel,Amazon,"Drama, Comedy"
86 Melrose Avenue,3.4,1h 24min,2021,Lili Matta,Amazon,"Drama, Mystery & Thriller"
Another Soul,2.2,1h 18min,2018,Paul Chau,Amazon,"Mystery & Thriller, Horror"
All In: The Fight for Democracy,6.9,1h 42min,2020,Liz Garbus,Amazon,Documentary
The Falconer,6.1,1h 40min,2021,Adam Sjöberg,Amazon,Drama
The Auschwitz Report,6.6,1h 35min,2021,Peter Bebjak,Amazon,"Drama, Made in Europe, History, War & Military"
How It Ends,5.3,1h 23min,2021,Zoe Lister-Jones,Amazon,"Comedy, Drama"
Metamorphosis,5.5,1h 22min,2022,Alex Smoot,Amazon,"Horror, Drama, Mystery & Thriller, Science-Fiction"
Last Rampage,5.8,1h 33min,2017,Dwight H. Little,Amazon,"Drama, Mystery & Thriller, Action & Adventure, Crime"
My Zoe,6.0,1h 40min,2019,Julie Delpy,Amazon,Drama
Noble,6.8,1h 40min,2014,Stephen Bradley,Amazon,"Drama, Made in Europe"
One Night in Miami...,7.1,1h 50min,2020,Regina King,Amazon,Drama
22 Chaser,5.4,1h 35min,2018,Rafal Sokolowski,Amazon,"Drama, Crime"
Ring of Desire,4.4,1h 25min,2021,Ronnie Nanos,Amazon,"Mystery & Thriller, Horror"
Jai Bhim,9.3,2h 44min,2021,T. J. Gnanavel,Amazon,"Drama, Mystery & Thriller, Crime"
Kept Woman,6.2,1h 25min,2015,Michel Poulette,Amazon,"Mystery & Thriller, Drama"
The Dead Center,5.8,1h 33min,2019,Billy Senese,Amazon,"Mystery & Thriller, Horror"
Detroit,7.3,2h 23min,2017,Kathryn Bigelow,Amazon,"Drama, Mystery & Thriller, Crime, History, Made in Europe"
Raunch and Roll,6.9,1h 47min,2021,Phil Wurtzel,Amazon,"Drama, Music & Musical"
The Manor,5.3,1h 21min,2021,Axelle Carolyn,Amazon,Horror
Interlude In Prague,6.2,1h 43min,2017,John Stephenson,Amazon,"Drama, History, Music & Musical, Romance, Made in Europe"
Breath of Life,6.1,1h 22min,2014,Bodunrin Sasore,Amazon,Documentary
The Wine of Summer,5.2,1h 30min,2013,Maria Matteoli,Amazon,"Drama, Comedy, Romance"
Sunlight Jr.,5.6,1h 30min,2013,Laurie Collyer,Amazon,"Drama, Made in Europe"
Last Resort,9.4,1h 32min,2022,Kevin Taylor,Amazon,Drama
Turnt,3.2,1h 25min,2022,Mann Robinson,Amazon,Drama
Sobibor,6.4,1h 53min,2018,Konstantin Khabenskiy,Amazon,"War & Military, Drama, History, Mystery & Thriller, Made in Europe"
The Boy from Medellín,6.1,1h 35min,2020,Matthew Heineman,Amazon,"Music & Musical, Documentary"
A Feral World,4.0,1h 45min,2020,David Liban,Amazon,"Horror, Drama, Science-Fiction"
Murder Bury Win,5.4,1h 30min,2020,Michael Lovan,Amazon,"Mystery & Thriller, Drama, Horror, Crime, Fantasy, Comedy"
Ammu,6.7,2h 16min,2022,Charukesh Sekar,Amazon,Drama
Virus Shark,1.8,1h 14min,2021,Mark Polonia,Amazon,"Horror, Science-Fiction"
Pulk,3.1,1h 26min,2020,Julian Filigno,Amazon,"Crime, Drama, Mystery & Thriller, Horror"
Herself,7.0,1h 37min,2020,Phyllida Lloyd,Amazon,Drama
1945,7.1,1h 31min,2017,Ferenc Török,Amazon,"Drama, Made in Europe"
Pet Fooled,7.3,1h 11min,2016,Kohl Harrington,Amazon,Documentary
Tab Hunter Confidential,7.6,1h 30min,2015,Jeffrey Schwarz,Amazon,Documentary
No Tears for the Dead,6.7,1h 57min,2014,Lee Jeong-beom,Amazon,"Mystery & Thriller, Action & Adventure, Crime, Drama"
Never Surrender: A Galaxy Quest Documentary,7.6,1h 27min,2019,Jack Bennett,Amazon,Documentary
Let There Be Light,6.6,1h 30min,2017,Mila Aung-Thwin,Amazon,"Documentary, Made in Europe"
Val,7.7,1h 49min,2021,Ting Poo,Amazon,Documentary
Peridot,6.1,1h 2min,2022,Shayne Pax,Amazon,Drama
Escape Through Africa,4.0,1h 30min,2022,Ted Betz,Amazon,Action & Adventure
Boy Meets Girl,7.1,1h 35min,2014,Eric Schaeffer,Amazon,"Romance, Drama, Comedy"
Good Kisser,4.4,1h 14min,2019,Wendy Jo Carlton,Amazon,"Drama, Romance, Comedy"
Ice Soldiers,4.3,1h 30min,2013,Sturla Gunnarsson,Amazon,"Action & Adventure, Science-Fiction, Mystery & Thriller"
Kabullywood,7.2,1h 24min,2017,Louis Meunier,Amazon,"Drama, Comedy, War & Military, Made in Europe"
We Must Go,8.4,1h 34min,2014,Chad N. Walker,Amazon,Documentary
The Obscured,6.4,1h 15min,2022,Dianna Ippolito,Amazon,Mystery & Thriller
Yaanaa,5.3,2h 38min,2019,Vijayalakshmi Singh,Amazon,Drama
The Dark,5.6,1h 34min,2018,Justin P. Lange,Amazon,"Horror, Drama, Fantasy, Made in Europe"
Licks,6.2,1h 33min,2013,Jonathan Singer-Vine,Amazon,Drama
ECCO,5.0,2h 3min,2019,Ben Medina,Amazon,"Drama, Crime, Mystery & Thriller"
Woman in the Woods,2.6,1h 29min,2021,Kevin Ang,Amazon,Fantasy
Nasha,3.2,2h 0min,2013,Amit Saxena,Amazon,"Mystery & Thriller, Drama"
Sylvie's Love,6.8,1h 54min,2020,Eugene Ashe,Amazon,"Music & Musical, Romance, Drama"
A Dark Place,6.2,1h 29min,2018,Simon Fellows,Amazon,"Drama, Documentary"
Marighella,7.1,2h 35min,2021,Wagner Moura,Amazon,"Mystery & Thriller, Drama, Action & Adventure, History"
Most Dangerous Game,6.6,1h 58min,2020,Phil Abraham,Amazon,"Drama, Mystery & Thriller, Romance, Action & Adventure, Crime"
On the Trail of UFOs: Dark Sky,5.7,1h 25min,2021,Seth Breedlove,Amazon,Documentary
Up North,5.4,10min,2017,Stefanie Abel Horowitz,Amazon,Drama
Forsaken,6.4,1h 30min,2015,Jon Cassar,Amazon,"Western, Action & Adventure, Drama"
Star,8.4,2h 0min,2021,Domin D'Silva,Amazon,"Mystery & Thriller, Drama"
The Voyeurs,6.0,1h 57min,2021,Michael Mohan,Amazon,"Mystery & Thriller, Drama"
Road to Damascus,5.5,1h 38min,2021,Anthony G. Perkins,Amazon,"Crime, Drama, Mystery & Thriller"
Farmland,6.2,1h 17min,2014,James Moll,Amazon,Documentary
Saani Kaayidham,7.5,2h 16min,2022,Arun Matheswaran,Amazon,"Action & Adventure, Crime, Drama, Romance"
2Survive,5.1,1h 34min,2015,Tom Seidman,Amazon,"Drama, Mystery & Thriller, Action & Adventure"
The Florist,3.7,1h 30min,2021,Andrew Ryan,Amazon,Drama
Branded,4.5,1h 13min,2017,Phil Gorn,Amazon,"Western, Drama"
Kuruthi,7.5,2h 2min,2021,Manu Warrier,Amazon,Mystery & Thriller
Pet,5.7,1h 34min,2016,Carles Torrens,Amazon,"Horror, Mystery & Thriller, Made in Europe"
The Odyssey,6.6,2h 2min,2016,Jérôme Salle,Amazon,"Drama, Made in Europe, History, Action & Adventure"
Christmas Is Canceled,4.8,1h 35min,2021,Prarthana Mohan,Amazon,"Comedy, Romance"
Hyde,4.2,1h 34min,2021,Dallas Burgess,Amazon,Mystery & Thriller
One and the Same,4.3,1h 50min,2021,Felipe Cisneros,Amazon,Science-Fiction
All Creatures Here Below,5.7,1h 31min,2019,Collin Schiffli,Amazon,"Drama, Crime, Romance"
Darbar,6.0,2h 39min,2020,A.R. Murugadoss,Amazon,"Mystery & Thriller, Action & Adventure, Crime"
Blast Vegas,3.1,1h 26min,2013,Jack Perez,Amazon,"Mystery & Thriller, Action & Adventure, Fantasy"
Yakuza Apocalypse,5.5,1h 55min,2015,Takashi Miike,Amazon,"Action & Adventure, Horror, Comedy, Made in Europe"
The Watcher,5.4,1h 29min,2016,Ryan Rothmaier,Amazon,"Horror, Mystery & Thriller"
Redcon-1,3.9,1h 55min,2018,Chee Keong Cheung,Amazon,"Horror, Action & Adventure, Mystery & Thriller"
Alien Invasion: S.U.M.1,4.3,1h 30min,2017,Ilya Sherstobitov,Amazon,"Science-Fiction, Horror, Mystery & Thriller, Made in Europe"
My Fake Boyfriend,5.1,1h 40min,2022,Rose Troche,Amazon,"Comedy, Romance"
Aadai,6.2,2h 23min,2019,Rathna Kumar,Amazon,"Mystery & Thriller, Drama"
The Town that Dreaded Sundown,5.6,1h 25min,2014,Alfonso Gomez-Rejon,Amazon,"Mystery & Thriller, Horror"
A Gruta,3.0,1h 38min,2020,Arthur Vinciprova,Amazon,Horror
Being the Ricardos,6.5,2h 12min,2021,Aaron Sorkin,Amazon,"Drama, History"
Search Out,4.8,1h 32min,2020,Kwak Jung,Amazon,Mystery & Thriller
The Rescue,6.0,2h 19min,2020,Dante Lam,Amazon,"Action & Adventure, Comedy, Drama, Mystery & Thriller"
Bad Detectives,4.0,1h 12min,2021,Presley Paras,Amazon,"Mystery & Thriller, Crime"
Penélope,5.4,1h 7min,2018,Agustín Adba,Amazon,"Drama, Comedy, Romance"
Beast of the Water,3.7,1h 23min,2017,Rashaad Santiago,Amazon,Action & Adventure
Flag Day,5.4,1h 48min,2021,Sean Penn,Amazon,"Drama, Mystery & Thriller, Crime"
Bob Saget: Zero to Sixty,6.2,1h 5min,2017,Jay Chapman,Amazon,Comedy
The Island,6.8,1h 34min,2018,Toka Mcbaror,Amazon,Mystery & Thriller
Dracula in Love,2.1,1h 23min,2018,Izidore K. Musallam,Amazon,"Horror, Fantasy"
Brad Williams: Daddy Issues,7.7,1h 1min,2016,Scott L. Montoya,Amazon,Comedy
Awaken,3.3,1h 35min,2015,Mark Atkins,Amazon,"Horror, Mystery & Thriller, Action & Adventure"
Once in a Lifetime,7.0,1h 45min,2014,Marie-Castille Mention-Schaar,Amazon,"Drama, Made in Europe, Comedy, Documentary"
One,6.5,2h 31min,2021,Santhosh Viswanath,Amazon,"Drama, Mystery & Thriller"
Before Your Time,5.7,2h 0min,2017,Lucas McGraw,Amazon,Kids & Family
Snapshots,7.0,1h 35min,2018,Hans Petch,Amazon,"Drama, Documentary"
5th of July,4.8,1h 40min,2019,Camilo Vila,Amazon,Comedy
Payday,5.5,1h 50min,2018,Cheta Chukwu,Amazon,Comedy
"The Badge, the Bible, and Bigfoot",1.8,1h 6min,2019,Ashley Hays Wright,Amazon,"Mystery & Thriller, Action & Adventure, Drama, Romance"
Flashback,6.1,1h 35min,2021,Caroline Vigneaux,Amazon,"Science-Fiction, Comedy"
Who You Think I Am,6.8,1h 41min,2019,Safy Nebbou,Amazon,"Drama, Romance, Made in Europe"
Thank You,6.0,2h 7min,2022,Vikram Kumar,Amazon,"Romance, Drama"
To Hell and Gone,5.9,1h 22min,2019,Kyle Moore,Amazon,Western
No Way to Live,5.6,1h 24min,2016,David Guglielmo,Amazon,"Mystery & Thriller, Drama, Crime"
Dorian Yates: The Original Mass Monster,7.7,1h 25min,2019,Vlad Yudin,Amazon,"Documentary, Sport"
Historias lamentables,6.6,2h 9min,2021,Javier Fesser,Amazon,Comedy
Jackass Presents: Bad Grandpa,6.5,1h 33min,2013,Jeff Tremaine,Amazon,Comedy
Hoodman,4.4,1h 36min,2021,Mark W. Curran,Amazon,"Crime, Horror, Mystery & Thriller"
Long Live Chainsaw,7.7,1h 33min,2021,Darcy Wittenburg,Amazon,"Sport, Documentary"
1480: Radio Pirates,6.1,1h 45min,2014,Craig Newland,Amazon,"Drama, Music & Musical, Romance"
Gehraiyaan,5.8,2h 28min,2022,Shakun Batra,Amazon,"Drama, Romance, Comedy"
Dr. Brinks & Dr. Brinks,7.0,1h 34min,2017,Josh Crockett,Amazon,"Drama, Comedy"
David,6.2,2h 35min,2013,Bejoy Nambiar,Amazon,"Drama, Romance, Mystery & Thriller, Action & Adventure, Crime"
Juarez 2045,2.9,1h 46min,2017,Chris Le,Amazon,"Science-Fiction, Action & Adventure"
Adventures in Public School,5.9,1h 26min,2018,Kyle Rideout,Amazon,Comedy
USS Indianapolis: The Legacy,8.3,1h 38min,2015,Sara Vladic,Amazon,Documentary
The Night Guard,6.9,1h 30min,2016,Diego Ros,Amazon,"Drama, Crime"
The Lift,4.6,1h 10min,2021,Daniela Bernal,Amazon,"Science-Fiction, Romance, Comedy"
Lost: MH 370,5.8,43min,2014,Caro Meldrum-Hanna,Amazon,Documentary
The Resurrection of Jake The Snake,7.8,1h 33min,2015,Steve Yu,Amazon,"Documentary, Sport, Drama"
To Life!,7.4,1h 30min,2014,Uwe Janson,Amazon,"Drama, Made in Europe, Documentary, Kids & Family, History, Music & Musical"
The Set Up,4.2,1h 45min,2019,Niyi Akinmolayan,Amazon,"Drama, Crime"
From the Depths,2.5,1h 25min,2020,Jose Montesinos,Amazon,"Horror, Drama, Mystery & Thriller"
Once I Was a Beehive,6.3,1h 59min,2015,Maclain Nelson,Amazon,"Drama, Kids & Family, Comedy"
The Immortalists,6.3,1h 18min,2014,Jason Sussberg,Amazon,"Documentary, Drama"
Ida,7.4,1h 22min,2013,Paweł Pawlikowski,Amazon,"Drama, Made in Europe"
Altered Hours,4.7,1h 41min,2016,Bruce Wemple,Amazon,"Mystery & Thriller, Science-Fiction"
Love & Friendship,6.4,1h 34min,2016,Whit Stillman,Amazon,"Drama, Romance, Comedy, Made in Europe"
Ramsey: The Vandy Case,6.2,1h 55min,2021,Tom Ryan,Amazon,Crime
The Dressmaker,7.0,1h 58min,2015,Jocelyn Moorhouse,Amazon,"Drama, Comedy, Western, Made in Europe"
Starring Adam West,7.2,1h 38min,2013,James E. Tooley,Amazon,"Documentary, Comedy, History"
Jack N Jill,1.5,2h 5min,2022,Santosh Sivan,Amazon,"Mystery & Thriller, Science-Fiction, Comedy"
The Maid,5.6,1h 42min,2020,Lee Thongkham,Amazon,"Horror, Mystery & Thriller, Drama, Fantasy, Crime"
Twinsanity,4.1,1h 25min,2018,Buz Wallick,Amazon,"Mystery & Thriller, Horror"
The Passion of Augustine,7.2,1h 43min,2015,Léa Pool,Amazon,Drama
Cloudy with a Chance of Meatballs 2,6.3,1h 35min,2013,Kris Pearn,Amazon,"Comedy, Animation, Kids & Family, Fantasy, Science-Fiction, Drama"
The Truth About Christmas,5.6,2h 0min,2018,Jay Karas,Amazon,"Drama, Comedy, Romance"
Battle Scars,5.5,1h 37min,2017,Danny Buday,Amazon,"Drama, War & Military"
Aimy in a Cage,5.1,1h 29min,2016,Hooroo Jackson,Amazon,"Drama, Fantasy, Science-Fiction, Mystery & Thriller"
Iravin Nizhal,6.5,1h 34min,2022,R. Parthiban,Amazon,"Mystery & Thriller, Drama"
White Demise,4.2,1h 10min,2021,Daeil Kim,Amazon,"Drama, Fantasy"
The Middle Distance,5.1,1h 20min,2015,Patrick Underwood,Amazon,"Drama, Romance, Comedy"
TANG AND ME,5.9,1h 55min,2022,Takahiro Miki,Amazon,"Comedy, Drama, Science-Fiction"
A Werewolf in England,3.9,1h 25min,2020,Charlie Steeds,Amazon,"Horror, Comedy"
Swallows and Amazons,6.1,1h 37min,2016,Philippa Lowthorpe,Amazon,"Kids & Family, Action & Adventure, Drama, War & Military"
The Man in the Hat,6.4,1h 35min,2020,Stephen Warbeck,Amazon,Comedy
Ithaca,5.5,1h 36min,2015,Meg Ryan,Amazon,"Drama, War & Military"
Shershaah,8.3,2h 15min,2021,Vishnuvardhan,Amazon,"Drama, Mystery & Thriller, War & Military, History, Romance, Action & Adventure"
Chi-Raq,5.9,2h 7min,2015,Spike Lee,Amazon,"Drama, Crime, Comedy"
These Streets We Haunt,4.3,1h 47min,2021,Jason Cunningham,Amazon,"Drama, Fantasy"
The Atoning,4.2,1h 29min,2017,Michael Williams,Amazon,"Drama, Horror, Mystery & Thriller"
The Turkey Bowl,5.4,2h 0min,2019,Greg Coolidge,Amazon,Comedy
Natasha,7.3,1h 33min,2015,David Bezmozgis,Amazon,"Drama, Made in Europe, Horror"
The Barn,3.4,1h 30min,2018,Matt Beurois,Amazon,"Mystery & Thriller, Crime, Horror, Documentary, Made in Europe"
Forte,5.0,1h 35min,2020,Katia Lewkowicz,Amazon,"Comedy, Made in Europe"
Lucky Bastard,4.4,1h 34min,2014,Robert Nathan,Amazon,"Mystery & Thriller, Drama, Crime"
Diverge,4.6,1h 25min,2016,Neil Burger,Amazon,"Science-Fiction, Mystery & Thriller, Drama"
Anyone Home?,3.9,1h 22min,2018,Patrick Cunningham,Amazon,"Drama, Horror, Mystery & Thriller"
Daffodils,5.8,1h 33min,2019,David Stubbs,Amazon,"Drama, Romance"
Petromax,5.3,2h 8min,2019,Rohin Venkatesan,Amazon,"Comedy, Horror"
"Events Transpiring Before, During, and After a High School Basketball Game",6.1,1h 16min,2020,Ted Stenson,Amazon,Comedy
The Lifeguard,5.6,1h 38min,2013,Liz W. Garcia,Amazon,"Drama, Romance"
Drishyam 2,8.4,2h 33min,2021,Jeethu Joseph,Amazon,"Drama, Mystery & Thriller, Crime"
Songs for a Sloth,5.9,1h 25min,2021,Bradley Hasse,Amazon,"Comedy, Drama, Music & Musical"
The Witch of Kings Cross,6.4,1h 18min,2020,Sonia Bible,Amazon,Documentary
Not Alone,3.9,1h 27min,2021,Cezil Reed,Amazon,"Mystery & Thriller, Horror"
Death Hunt,3.7,1h 32min,2022,Neil Mackay,Amazon,"Mystery & Thriller, Action & Adventure"
Landline,6.4,1h 33min,2017,Gillian Robespierre,Amazon,"Comedy, Drama"
Braking for Whales,4.9,1h 43min,2019,Sean McEwen,Amazon,"Drama, Comedy"
Scales: Mermaids Are Real,4.1,1h 32min,2017,Kevan Peterson,Amazon,"Fantasy, Kids & Family"
Sharknado 4: The 4th Awakens,3.8,1h 25min,2016,Anthony C. Ferrante,Amazon,"Comedy, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror"
Saving Zoë,5.4,1h 35min,2019,Jeffrey G. Hunt,Amazon,"Drama, Mystery & Thriller, Crime"
Elsewhere,5.9,1h 38min,2020,Hernán Jiménez,Amazon,"Comedy, Drama, Animation"
Just Charlie,6.8,1h 37min,2017,Rebekah Fortune,Amazon,Drama
Malik,8.0,2h 41min,2021,Mahesh Narayanan,Amazon,"Mystery & Thriller, Drama, Action & Adventure, Crime"
Cassanova Was a Woman,6.0,1h 53min,2016,Kevin Arbouet,Amazon,Comedy
Lonely Boys,3.7,1h 30min,2016,Dan Simon,Amazon,"Comedy, Drama, Romance"
The Submarine Kid,5.7,1h 49min,2016,Eric Bilitch,Amazon,"Drama, Romance"
Art of the Game: Ukiyo-e Heroes,7.7,1h 35min,2017,Toru Tokikawa,Amazon,Documentary
Fallen Stars,5.6,1h 28min,2017,Brian Jett,Amazon,"Comedy, Drama"
Nicole,4.3,1h 15min,2019,James Schroeder,Amazon,"Horror, Comedy"
Aida's Secrets,7.2,1h 35min,2016,Alon Schwarz,Amazon,"Documentary, Made in Europe"
White Rabbit,5.7,1h 11min,2018,Tim McCann,Amazon,"Drama, Comedy"
Fair Play,6.8,1h 40min,2014,Andrea Sedláčková,Amazon,"Drama, Made in Europe, Sport"
American Refugee,4.2,1h 35min,2021,Ali LeRoi,Amazon,"Mystery & Thriller, Horror, Drama, Crime"
The Haunting of the Tower of London,4.2,1h 29min,2022,Charlie Steeds,Amazon,"Horror, History"
The Assassin's Code,5.1,1h 35min,2018,David A. Armstrong,Amazon,"Mystery & Thriller, Action & Adventure, Crime, Drama"
Flesh,2.8,1h 10min,2021,Nikk Bergman,Amazon,Horror
K.G.F: Chapter 1,8.2,2h 36min,2018,Prashanth Neel,Amazon,"Drama, Crime, Mystery & Thriller, Action & Adventure"
Domain,5.6,1h 37min,2017,Nathaniel Atcheson,Amazon,"Drama, Science-Fiction, Mystery & Thriller"
Pound of Flesh,5.1,1h 44min,2015,Ernie Barbarash,Amazon,"Action & Adventure, Mystery & Thriller"
Love Dot Com: The Social Experiment,4.5,1h 37min,2019,Charneice Fox,Amazon,Romance
The Bachelors,6.8,1h 48min,2017,Kurt Voelker,Amazon,"Romance, Drama, Comedy"
Ashley Jones Is Perfectly Normal,4.6,1h 22min,2021,Thomas Bangert,Amazon,"Drama, Comedy"
Geetha,5.9,2h 28min,2019,Vijay N,Amazon,"Drama, Romance"
UFO Conspiracies: The Hidden Truth,6.3,1h 0min,2020,Steven Lawson,Amazon,Documentary
The Bikes of Wrath,7.3,1h 42min,2018,Charlie Turnbull,Amazon,Documentary
Andy Paris: Bubblegum King,7.7,1h 5min,2017,John Paris,Amazon,Documentary
Death Count,4.6,1h 21min,2022,Michael Su,Amazon,Horror
Triple Threat,7.0,1h 39min,2020,Stacey Maltin,Amazon,"Drama, Comedy"
Electric Slide,4.7,1h 35min,2014,Tristan Patterson,Amazon,"Mystery & Thriller, Crime, Drama, Action & Adventure"
Dark State,3.0,1h 33min,2021,Tracy Lucca,Amazon,"Mystery & Thriller, Crime, Drama"
Ice Guardians,7.4,1h 48min,2016,Brett Harvey,Amazon,"Documentary, Sport"
Slashlorette Party,3.4,1h 18min,2020,Paul Ragsdale,Amazon,Horror
Jawaan,4.7,2h 14min,2017,BVS Ravi,Amazon,"Mystery & Thriller, Action & Adventure"
All the Old Knives,6.1,1h 41min,2022,Janus Metz,Amazon,Mystery & Thriller
The Disappointments Room,3.9,1h 40min,2016,D. J. Caruso,Amazon,"Horror, Mystery & Thriller, Drama"
Sprinter,6.2,1h 54min,2019,Choi Seung-yeon,Amazon,"Drama, Sport"
Fort Bliss,6.4,1h 56min,2014,Claudia Myers,Amazon,"Drama, War & Military"
Naz & Maalik,5.7,1h 26min,2015,Jay Dockendorf,Amazon,"Drama, Romance, Comedy"
Konga TNT,1.8,1h 13min,2020,Brett Kelly,Amazon,"Horror, Science-Fiction, Comedy, Action & Adventure"
Geography Club,6.6,1h 22min,2013,Gary Entin,Amazon,"Drama, Comedy"
The Last Days of Capitalism,4.9,1h 23min,2020,Adam Mervis,Amazon,Drama
Death Link,3.0,1h 28min,2021,David Lipper,Amazon,"Drama, Horror"
5 Doctors,5.4,1h 32min,2016,Matt Porter,Amazon,Comedy
