Title,Imdb,Runtime,Year,Director,Platform,Genre
The Kings of the World,7.1,1h 51min,2022,Laura Mora,Netflix,Drama
Five Feet Apart,7.2,1h 56min,2019,Justin Baldoni,Netflix,"Drama, Romance"
Descendant,7.1,1h 51min,2022,Margaret Brown,Netflix,"Documentary, History"
Office Invasion,4.5,1h 52min,2022,Fred Wolmarans,Netflix,"Comedy, Horror, Science-Fiction, Action & Adventure"
Fullmetal Alchemist: The Final Alchemy,5.3,2h 23min,2022,Fumihiko Sori,Netflix,"Fantasy, Action & Adventure"
For Jojo,4.0,1h 37min,2022,Barbara Ott,Netflix,Drama
"Hallelujah: Leonard Cohen, A Journey, A Song",7.6,1h 55min,2022,Dayna Goldfine,Netflix,"Documentary, Music & Musical"
Falling for Christmas,5.2,1h 35min,2022,Janeen Damian,Netflix,"Comedy, Romance"
Endless Love,6.2,1h 44min,2014,Shana Feste,Netflix,"Drama, Romance"
Goosebumps,6.3,1h 43min,2015,Rob Letterman,Netflix,"Horror, Comedy, Kids & Family, Fantasy"
Orgasm Inc: The Story of OneTaste,5.8,1h 29min,2022,Sarah Gibson,Netflix,"Documentary, Crime"
The Redeem Team,7.4,1h 38min,2022,Jon Weinbach,Netflix,"Documentary, History, Sport"
Operation Nation,5.7,1h 36min,2022,Piotr Kumik,Netflix,"Comedy, Romance, Drama"
The Womb,6.0,1h 56min,2022,Fajar Nugros,Netflix,"Drama, Horror, Mystery & Thriller"
The Mystery of Marilyn Monroe: The Unheard Tapes,6.2,1h 41min,2022,Emma Cooper,Netflix,Documentary
In Her Hands,6.7,1h 33min,2022,Marcel Mettelsiefen,Netflix,Documentary
Stromboli,6.0,1h 25min,2022,Michiel van Erp,Netflix,Drama
Take Your Pills: Xanax,6.0,1h 30min,2022,Blair Foster,Netflix,Documentary
Disobedience,6.6,1h 54min,2018,Sebastián Lelio,Netflix,"Drama, Romance, Made in Europe"
State of Alabama vs. Brittany Smith,6.196438356164386,40min,2022,Ryan White,Netflix,"Documentary, Crime"
A Not So Merry Christmas,4.8,1h 39min,2022,Mark Alazraki,Netflix,"Comedy, Fantasy"
The Vanishing,5.9,1h 41min,2019,Kristoffer Nyholm,Netflix,"Mystery & Thriller, Crime, Drama, Made in Europe"
A Jazzman's Blues,6.7,2h 7min,2022,Tyler Perry,Netflix,Drama
Colette,6.7,1h 51min,2018,Wash Westmoreland,Netflix,"Drama, Romance, History, Made in Europe"
2 Guns,6.7,1h 49min,2013,Baltasar Kormákur,Netflix,"Comedy, Crime, Mystery & Thriller, Action & Adventure"
Mr. Harrigan's Phone,6.0,1h 45min,2022,John Lee Hancock,Netflix,"Mystery & Thriller, Horror, Drama"
Riddick,6.4,1h 59min,2013,David Twohy,Netflix,"Science-Fiction, Mystery & Thriller, Action & Adventure"
Tully,7.0,1h 35min,2018,Jason Reitman,Netflix,"Comedy, Drama"
The Best of Me,6.6,1h 57min,2014,Michael Hoffman,Netflix,"Drama, Romance, Comedy"
Bert Kreischer: The Machine,7.6,1h 10min,2016,Ryan Polito,Netflix,Comedy
The Lost Patient,6.196438356164386,1h 33min,2022,Christophe Charrier,Netflix,"Mystery & Thriller, Drama"
Phantom Thread,7.4,2h 10min,2017,Paul Thomas Anderson,Netflix,"Drama, Romance"
Footfairy,4.6,1h 55min,2020,Kanishk Varma,Netflix,"Crime, Mystery & Thriller"
Darkest Hour,7.4,2h 5min,2017,Joe Wright,Netflix,"History, Drama, War & Military, Mystery & Thriller, Kids & Family"
Is That Black Enough for You?!?,7.3,2h 15min,2022,Elvis Mitchell,Netflix,"Documentary, History"
Capturing the Killer Nurse,6.4,1h 35min,2022,Tim Travers Hawkins,Netflix,"Documentary, Crime"
The Adam Project,6.7,1h 46min,2022,Shawn Levy,Netflix,"Drama, Action & Adventure, Comedy, Science-Fiction"
Patton Oswalt: We All Scream,5.9,58min,2022,Patton Oswalt,Netflix,"Comedy, Documentary"
A Night at the Kindergarten,5.6,1h 37min,2022,Rafal Skalski,Netflix,Comedy
Making All Quiet on the Western Front,6.196438356164386,18min,2022,Ingo Becker,Netflix,Documentary
The Hangover Part III,5.8,1h 40min,2013,Todd Phillips,Netflix,"Comedy, Crime"
I Believe in Santa,4.4,1h 30min,2022,Alex Ranarivelo,Netflix,"Comedy, Romance"
My Father's Dragon,6.5,1h 44min,2022,Nora Twomey,Netflix,"Comedy, Animation, Drama, Kids & Family, Fantasy"
Sebastian Maniscalco: Is it Me?,6.4,1h 0min,2022,Peter Segal,Netflix,"Comedy, Reality TV, Documentary"
The Perfumier,3.6,1h 36min,2022,Nils Willbrandt,Netflix,"Mystery & Thriller, Drama, Crime"
"Hello, Goodbye, and Everything in Between",5.1,1h 23min,2022,Michael Lewen,Netflix,"Drama, Romance, Comedy"
Begin Again,7.4,1h 44min,2013,John Carney,Netflix,"Comedy, Drama, Music & Musical, Romance"
The Soccer Football Movie,3.1,1h 14min,2022,Mitch Schauer,Netflix,"Comedy, Sport, Animation, Kids & Family"
Rainbow,4.5,1h 57min,2022,Paco León,Netflix,"Drama, Comedy"
Aziz Ansari: Nightclub Comedian,7.0,29min,2022,Aziz Ansari,Netflix,Comedy
Narvik,6.6,1h 48min,2022,Erik Skjoldbjærg,Netflix,"War & Military, Drama, History, Action & Adventure"
Inside Man: Most Wanted,5.6,1h 46min,2019,M. J. Bassett,Netflix,"Mystery & Thriller, Action & Adventure, Crime"
Do Revenge,6.3,1h 58min,2022,Jennifer Kaytin Robinson,Netflix,Comedy
Disappearance at Clifton Hill,5.4,1h 40min,2020,Albert Shin,Netflix,"Mystery & Thriller, Drama"
Won't You Be My Neighbor?,8.4,1h 35min,2018,Morgan Neville,Netflix,Documentary
Ouija,4.5,1h 29min,2014,Stiles White,Netflix,"Horror, Mystery & Thriller"
Synchronic,6.2,1h 42min,2020,Aaron Moorhead,Netflix,"Science-Fiction, Mystery & Thriller, Crime, Drama, Horror"
Philomena,7.6,1h 38min,2013,Stephen Frears,Netflix,"Drama, Comedy, Made in Europe"
Little Boy,7.3,1h 46min,2015,Alejandro Monteverde,Netflix,"War & Military, Comedy, Drama, History"
Pray Away,6.5,1h 41min,2021,Kristine Stolakis,Netflix,Documentary
Untold: The Rise and Fall of AND1,6.8,1h 9min,2022,"Kevin Wilson, Jr.",Netflix,"Documentary, History, Sport"
Southpaw,7.3,2h 3min,2015,Antoine Fuqua,Netflix,"Action & Adventure, Drama, Sport, Crime"
Our Lovers,6.7,1h 32min,2016,Miguel Ángel Lamata,Netflix,"Drama, Romance, Comedy, Made in Europe"
Ghislaine Maxwell: Filthy Rich,6.0,1h 41min,2022,Maiken Baird,Netflix,"Documentary, Crime"
Walk of Shame,6.0,1h 35min,2014,Steven Brill,Netflix,Comedy
Hardcore Henry,6.7,1h 36min,2016,Ilya Naishuller,Netflix,"Action & Adventure, Science-Fiction, Mystery & Thriller"
Kiss the Ground,8.2,1h 24min,2020,Rebecca Harrell Tickell,Netflix,Documentary
Dave Chappelle: What's in a Name?,6.196438356164386,40min,2022,Rikki Hughes,Netflix,Comedy
The Sea Beast,7.0,1h 55min,2022,Chris Williams,Netflix,"Kids & Family, Fantasy, Science-Fiction, Animation, Comedy, Action & Adventure"
Bulbbul,6.5,1h 34min,2020,Anvita Dutt,Netflix,"Horror, Drama"
Trevor Noah: I Wish You Would,6.6,1h 0min,2022,David Paul Meyer,Netflix,"Comedy, Documentary"
Broad Peak,5.9,1h 41min,2022,Leszek Dawid,Netflix,"Drama, Mystery & Thriller"
The Seven Deadly Sins: Grudge of Edinburgh Part 1,5.4,52min,2022,Noriyuki Abe,Netflix,"Action & Adventure, Animation, Fantasy, Comedy"
The Anthrax Attacks: In the Shadow of 9/11,6.3,1h 34min,2022,Dan Krauss,Netflix,"Documentary, Crime"
Nick Kroll: Little Big Boy,6.7,1h 0min,2022,Bill Benz,Netflix,Comedy
The Mauritanian,7.4,2h 9min,2021,Kevin Macdonald,Netflix,"Drama, Mystery & Thriller"
End of the Road,4.8,1h 29min,2022,Millicent Shelton,Netflix,"Crime, Action & Adventure, Drama, Mystery & Thriller"
HollyBlood,4.4,1h 27min,2022,Jesús Font,Netflix,"Comedy, Fantasy, Horror, Romance"
Cirkus,4.9,2h 19min,2022,Rohit Shetty,Netflix,"Comedy, Drama"
